Year,Energy Source,Value
1944,,125.0248081
1945,,188.1900916
1946,,196.7611771
1947,,197.43126180000002
1948,,219.73001800000003
1949,,215.98244069999996
1950,,219.9203074
1951,,214.96538289999998
1952,,211.6691688
1953,,208.2052384
1954,,471.18146169999994
1955,,476.1685028
1956,,465.87659890000003
1957,,456.65642289999994
1958,,445.34888600000005
1959,,469.55734739999997
1960,,535.4922205
1961,,599.5645602000001
1962,,588.0452521000001
1963,,577.7347804999999
1964,,657.1745839
1965,,651.8368546
1966,,641.1646099999999
1967,,630.4298223999999
1968,,620.7977791000001
1969,,613.404376
1970,,1144.538869
1971,,1140.113458
1972,,1295.007258
1973,,1605.095964
1974,,1668.401007
1975,,1645.510972
1976,,1689.1846280000002
1977,,1682.7900079999997
1978,,2043.091053
1979,,2470.5552239999997
1980,,2444.1457960000002
1981,,2444.9541480000003
1982,,2716.377669
1983,,3272.071904
1984,,3232.97933
1985,,3203.552696
1986,,3182.429615
1987,,3157.853348
1988,,3114.4324030000002
1989,,3060.555178
1990,,3052.23713
1991,,3027.412786
1992,,3175.357202
1993,,3524.296266
1994,,3506.798358
1995,,3481.6576649999997
1996,,3468.9242340000005
1997,,3444.2962270000003
1998,,3669.58782
1999,,3915.4117340000003
2000,,4191.113389
2001,,4346.137965
2002,,4561.476053
2003,,4689.896038
2004,,4658.653681000001
2005,,4618.98582
2006,,4634.43051
2007,,5137.042045
2008,,7460.392634000001
2009,,7664.662709
2010,,7719.557347
2011,,7703.3995700000005
2012,,7962.115309000001
2013,,7907.530363
2014,,8120.723061
2015,,8042.430872
2016,,7961.3026230000005
2017,,7824.358872
1944,Hydro,125.0248081
1945,Hydro,188.1900916
1946,Hydro,196.7611771
1947,Hydro,197.43126180000002
1948,Hydro,219.73001800000003
1949,Hydro,215.98244069999996
1950,Hydro,219.9203074
1951,Hydro,214.96538289999998
1952,Hydro,211.6691688
1953,Hydro,208.2052384
1954,Hydro,471.18146169999994
1955,Hydro,476.1685028
1956,Hydro,465.87659890000003
1957,Hydro,456.65642289999994
1958,Hydro,445.34888600000005
1959,Hydro,469.55734739999997
1960,Hydro,535.4922205
1961,Hydro,599.5645602000001
1962,Hydro,588.0452521000001
1963,Hydro,577.7347804999999
1964,Hydro,657.1745839
1965,Hydro,651.8368546
1966,Hydro,641.1646099999999
1967,Hydro,630.4298223999999
1968,Hydro,620.7977791000001
1969,Hydro,613.404376
1970,Hydro,1128.855824
1971,Hydro,1124.491051
1972,Hydro,1279.575234
1973,Hydro,1589.92376
1974,Hydro,1653.428285
1975,Hydro,1630.743672
1976,Hydro,1674.590216
1977,Hydro,1668.313383
1978,Hydro,1884.9257699999998
1979,Hydro,2313.777714
1980,Hydro,2289.044186
1981,Hydro,2265.2980239999997
1982,Hydro,2538.930666
1983,Hydro,3097.1524640000002
1984,Hydro,3060.172136
1985,Hydro,3032.318396
1986,Hydro,3012.324373
1987,Hydro,2989.109466
1988,Hydro,2948.008774
1989,Hydro,2897.010547
1990,Hydro,2875.709754
1991,Hydro,2852.321137
1992,Hydro,3002.8683960000003
1993,Hydro,3353.555449
1994,Hydro,3319.673739
1995,Hydro,3295.874566
1996,Hydro,3283.8205989999997
1997,Hydro,3260.506755
1998,Hydro,3377.3501090000004
1999,Hydro,3409.086293
2000,Hydro,3583.334827
2001,Hydro,3740.5500399999996
2002,Hydro,3857.995289
2003,Hydro,3991.0389609999997
2004,Hydro,3964.8449600000004
2005,Hydro,3932.2835240000004
2006,Hydro,3862.149914
2007,Hydro,3766.7516060000003
2008,Hydro,5924.218361
2009,Hydro,5871.7467
2010,Hydro,5916.8309039999995
2011,Hydro,5905.326391
2012,Hydro,5888.642729
2013,Hydro,5848.758921
2014,Hydro,6080.535264
2015,Hydro,6019.854147999999
2016,Hydro,5959.5824729999995
2017,Hydro,5857.070658
1969,Geothermal,0.0
1970,Geothermal,15.68304565
1971,Geothermal,15.62240644
1972,Geothermal,15.43202434
1973,Geothermal,15.17220452
1974,Geothermal,14.97272157
1975,Geothermal,14.76729966
1976,Geothermal,14.59441216
1977,Geothermal,14.47662477
1978,Geothermal,158.16528269999998
1979,Geothermal,156.7775096
1980,Geothermal,155.10160919999998
1981,Geothermal,179.6561242
1982,Geothermal,177.4470028
1983,Geothermal,174.91943940000002
1984,Geothermal,172.80719409999998
1985,Geothermal,171.23430009999998
1986,Geothermal,170.10524230000001
1987,Geothermal,168.743882
1988,Geothermal,166.4236289
1989,Geothermal,163.54463140000001
1990,Geothermal,176.52737549999998
1991,Geothermal,175.09164950000002
1992,Geothermal,172.48880559999998
1993,Geothermal,170.740817
1994,Geothermal,187.124619
1995,Geothermal,185.78309819999998
1996,Geothermal,185.1036356
1997,Geothermal,183.78947209999998
1998,Geothermal,292.2377111
1999,Geothermal,506.325441
2000,Geothermal,607.7785622
2001,Geothermal,605.5879249
2002,Geothermal,703.4807642000001
2003,Geothermal,698.8570775000001
2004,Geothermal,693.8087208
2005,Geothermal,686.7022962
2006,Geothermal,772.2805953
2007,Geothermal,1370.290439
2008,Geothermal,1536.174273
2009,Geothermal,1792.916009
2010,Geothermal,1802.726443
2011,Geothermal,1798.073179
2012,Geothermal,2073.378706
2013,Geothermal,2058.6782329999996
2014,Geothermal,2034.5686289999999
2015,Geothermal,2013.3697960000002
2016,Geothermal,1992.6081629999999
2017,Geothermal,1958.332964
2011,Wind,0.0
2012,Wind,0.09387467699999999
2013,Wind,0.09320909599999999
2014,Wind,5.61916781
2015,Wind,9.206927985
2016,Wind,9.111987225
2017,Wind,8.955250348
