Year,Value
1944,125.0248081
1945,188.1900916
1946,196.7611771
1947,197.43126180000002
1948,219.73001800000003
1949,215.98244069999996
1950,219.9203074
1951,214.96538289999998
1952,211.6691688
1953,208.2052384
1954,471.18146169999994
1955,476.1685028
1956,465.87659890000003
1957,456.65642289999994
1958,445.34888600000005
1959,469.55734739999997
1960,535.4922205
1961,599.5645602000001
1962,588.0452521000001
1963,577.7347804999999
1964,657.1745839
1965,651.8368546
1966,641.1646099999999
1967,630.4298223999999
1968,620.7977791000001
1969,613.404376
1970,1144.538869
1971,1140.113458
1972,1295.007258
1973,1605.095964
1974,1668.401007
1975,1645.510972
1976,1689.1846280000002
1977,1682.7900079999997
1978,2043.091053
1979,2470.5552239999997
1980,2444.1457960000002
1981,2444.9541480000003
1982,2716.377669
1983,3272.071904
1984,3232.97933
1985,3203.552696
1986,3182.429615
1987,3157.853348
1988,3114.4324030000002
1989,3060.555178
1990,3052.23713
1991,3027.412786
1992,3175.357202
1993,3524.296266
1994,3506.798358
1995,3481.6576649999997
1996,3468.9242340000005
1997,3444.2962270000003
1998,3669.58782
1999,3915.4117340000003
2000,4191.113389
2001,4346.137965
2002,4561.476053
2003,4689.896038
2004,4658.653681000001
2005,4618.98582
2006,4634.43051
2007,5137.042045
2008,7460.392634000001
2009,7664.662709
2010,7719.557347
2011,7703.3995700000005
2012,7962.115309000001
2013,7907.530363
2014,8120.723061
2015,8042.430872
2016,7961.3026230000005
2017,7824.358872
